Customer ID,Revenue,Quantity,Invoices
18102.0,580987.04,181645,145
14646.0,528602.52,367833,152
14156.0,313437.62,164325,156
14911.0,291420.81,148222,398
17450.0,244784.25,84562,51
13694.0,195640.69,188201,143
17511.0,172132.87,117174,60
16446.0,168472.5,80997,2
16684.0,147142.77,104810,55
12415.0,144458.37,91743,28
15061.0,126389.02,74280,127
16029.0,117763.62,54450,107
17949.0,117314.08,60538,118
15311.0,114966.42,70149,208
13089.0,113416.91,58937,203
12931.0,92347.34,62906,57
14298.0,91194.49,100272,82
15769.0,88612.52,49068,46
12346.0,77556.46,74285,12
13798.0,75428.87,48187,110
