Description,Revenue,Quantity
Manual,339241.29,9641
REGENCY CAKESTAND 3 TIER,330590.32,26495
DOTCOM POSTAGE,309854.11,1420
WHITE HANGING HEART T-LIGHT HOLDER,260990.22,94663
"PAPER CRAFT , LITTLE BIRDIE",168469.6,80995
PARTY BUNTING,148318.28,28217
JUMBO BAG RED RETROSPOT,148073.47,77705
ASSORTED COLOUR BIRD ORNAMENT,129324.49,80090
POSTAGE,125682.42,5363
PAPER CHAIN KIT 50'S CHRISTMAS ,117760.29000000001,35084
MEDIUM CERAMIC TOP STORAGE JAR,81700.92000000001,78033
CHILLI LIGHTS,80540.88,15848
ROTATING SILVER ANGELS T-LIGHT HLDR,71300.4,31409
JUMBO BAG STRAWBERRY,69002.13,37064
RABBIT NIGHT LIGHT,66870.03,30739
BLACK RECORD COVER FRAME,65189.29,18739
JUMBO STORAGE BAG SUKI,61537.55,29183
VINTAGE UNION JACK BUNTING,60286.04,6900
EDWARDIAN PARASOL NATURAL,60145.85,11459
HOT WATER BOTTLE TEA AND SYMPATHY,59189.14,11678
